2023-09-19 16:29:31.020 [info] Log level: Info
2023-09-19 16:29:31.020 [info] Validating found git in: "git"
2023-09-19 16:29:31.020 [info] Using git "2.42.0" from "git"
2023-09-19 16:29:31.022 [info] > git rev-parse --show-toplevel [3ms]
2023-09-19 16:29:31.028 [info] > git rev-parse --show-toplevel [0ms]
2023-09-19 16:29:31.100 [info] > git rev-parse --show-toplevel [6ms]
2023-09-19 16:29:31.109 [info] > git rev-parse --show-toplevel [1ms]
2023-09-19 16:29:31.304 [info] > git rev-parse --show-toplevel [1ms]
2023-09-19 16:29:34.963 [info] > git rev-parse --show-toplevel [1ms]
2023-09-19 16:29:36.769 [info] > git rev-parse --show-toplevel [1ms]
2023-09-19 16:29:38.253 [info] > git rev-parse --show-toplevel [1ms]
2023-09-19 16:29:40.140 [info] > git rev-parse --show-toplevel [2ms]
2023-09-19 16:29:48.280 [info] > git rev-parse --show-toplevel [1ms]
2023-09-19 16:30:01.311 [info] > git rev-parse --show-toplevel [2ms]
2023-09-19 16:30:22.191 [info] > git rev-parse --show-toplevel [2ms]
2023-09-19 16:30:29.323 [info] > git rev-parse --show-toplevel [0ms]
2023-09-19 16:30:47.861 [info] > git rev-parse --show-toplevel [0ms]
2023-09-19 16:30:54.861 [info] > git rev-parse --show-toplevel [1ms]
2023-09-19 16:31:08.959 [info] > git rev-parse --show-toplevel [1ms]
2023-09-19 16:31:52.835 [info] > git rev-parse --show-toplevel [1ms]
2023-09-19 16:32:15.301 [info] > git rev-parse --show-toplevel [1ms]
2023-09-19 16:33:17.385 [info] > git rev-parse --show-toplevel [1ms]
2023-09-19 16:33:20.069 [info] > git rev-parse --show-toplevel [1ms]
2023-09-19 16:33:50.060 [info] > git rev-parse --show-toplevel [2ms]
2023-09-19 16:35:18.786 [info] > git rev-parse --show-toplevel [1ms]
2023-09-19 16:36:00.624 [info] > git rev-parse --show-toplevel [2ms]
2023-09-19 16:36:04.973 [info] > git rev-parse --show-toplevel [1ms]
2023-09-19 16:36:28.976 [info] > git rev-parse --show-toplevel [2ms]
2023-09-19 16:36:35.760 [info] > git rev-parse --show-toplevel [1ms]
2023-09-19 16:36:37.637 [info] > git rev-parse --show-toplevel [1ms]
2023-09-19 16:36:37.643 [info] > git rev-parse --show-toplevel [1ms]
2023-09-19 16:36:38.907 [info] > git rev-parse --show-toplevel [1ms]
2023-09-19 16:36:38.919 [info] > git rev-parse --show-toplevel [1ms]
2023-09-19 16:36:38.924 [info] > git rev-parse --show-toplevel [1ms]
2023-09-19 16:36:39.905 [info] > git rev-parse --show-toplevel [0ms]
2023-09-19 16:36:39.917 [info] > git rev-parse --show-toplevel [1ms]
2023-09-19 16:36:39.921 [info] > git rev-parse --show-toplevel [0ms]
